,name,description,category
451,Dementia learning open to groups and businesses,"We value our content and access to our full site is only available with a subscription. Your subscription entitles you to 7-day-a-week access to our website, plus a full digital copy of that week’s paper to read on your pc/mac or mobile device In addition your subscription includes access to digital archive copies from 2006 onwards Just ...",ScienceAndTechnology
310,Gloucester Rugby to raise awareness of mental health at next game after grieving Danny Cipriani is targeted following death of Caroline Flack,"Gloucester are planning to raise awareness of mental health at their next home game against Sale. It comes after fly-half Danny Cipriani was targeted on Twitter following the death of TV presenter Caroline Flack. Former Love Island host Caroline, who dated Cipriani last year, was found dead at her London home on Saturday and a lawyer for her ...",Health
198,Harrison Ford: 'I Don't Know What a Force Ghost Is',"Hollywood icon Harrison Ford is close to becoming as famous for his comically flippant responses to questions about his famous movie roles as he is for the roles themselves. Though, to be fair, the Star Wars star has been answering the same, or similar, questions for forty years. While talking to USA Today for his new film Call of the Wild ...",Entertainment
477,When do the clocks change? Here's when they go forward in 2020 - and when spring begins,"It's no great secret that the British winter can be a bit of a drag. While things often remain dark and dreary for the first part of the year, they do start to get noticeably brighter pretty quickly, especially once the clocks change. In 2020, the clocks will be put forward by an hour at 2am on Sunday 29 March. This means the sun will rise an ...",ScienceAndTechnology
633,Argyll and Bute’s budget cut higher than Scottish average,Millions of pounds will have to be cut from Argyll and Bute council’s budget after its Scottish Government funding was slashed. The area’s funding has been cut by more than the Scottish average and was slammed by Argyll and Bute council leader Aileen Morton. The council will meet to set its impacted budget next Thursday on February 27.,UK
222,Victoria Beckham's Show Was A Family Affair - And There Was Plenty Of Star Power,"Victoria Beckham usually takes a ‘gang’s all here’ approach to fashion week - and this season proved no different. Taking pride of place on today’s front row were David, Romeo, Cruz and Harper - only Brooklyn missed mum's show - who had their camera phones dutifully trained on the catwalk. Beside the Beckhams sat Anna Wintour, while ...",Entertainment
428,How beavers can help stop homes from flooding,"Beavers can play an important role in helping to keep our homes from being flooded. That's according to scientists at Exeter University, who have carried out a five year study of wild animals living in Devon. They found the animals helped to prevent flooding, reduce pollution and boost wildlife population. It's thought this research will now ...",ScienceAndTechnology
217,You can get Cineworld IMAX tickets for just £3 this month - here’s how,"Cinema chain Cineworld is hosting its IMAX Festival later this month, with tickets priced at just £3 each. The one day festival, which is returning to Cineworld for a fifth consecutive year, will give cinema lovers another chance to see four of 2019’s biggest blockbusters in giant IMAX quality. The IMAX Festival will be held on Saturday 22 ...",Entertainment
670,Tyrone man first convicted of paying for sex in Northern Ireland,"A Co Tyrone man has become the first person to be convicted of paying for sexual services since the law changed in Northern Ireland. Alan Hamilton, a registered sex offender, committed the offences while going through the court system for other sexualised criminality, according to the dates of the charge. Under the Human Trafficking and ...",UK
628,UK weather forecast: Cold snap could worsen towards end of month as temperatures plummet,"Britain is bracing for a cold snap which could worsen towards the end of the month, as temperatures in some places plummet as low as -10C. Forecasters have warned Britons to wrap up warm and look after vulnerable people as conditions akin to last year’s Beast from the East could hit in the coming weeks. Overnight on Wednesday temperatures ...",UK
460,Reminder: Nintendo's Wireless SNES Controllers Are Back In Stock (North America),"Arguably the best way to experience Nintendo's SNES library on the Switch is with one of the original controllers. Unfortunately, getting hold of one within North America in recent times has been quite tough due to ongoing demand. Now, though, after an update last week, the wireless Super Nintendo controllers designed exclusively for the Switch ...",ScienceAndTechnology
421,Coalition may use government contracts to crack down on environment protests,Attorney general seeks views on whether the federal building code could be used to stifle environmental secondary boycotts,ScienceAndTechnology
